BuildingType,PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding,ENERGYSTARScore,SiteEnergyUse,TotalGHGEmissions,BuildingAge
NonResidential,Hotel,DOWNTOWN,1.0,12.0,0,88434,65.0,6981428.0,249.43,88
NonResidential,Hotel,DOWNTOWN,1.0,11.0,15064,88502,51.0,8354235.0,263.51,19
NonResidential,Hotel,DOWNTOWN,1.0,41.0,0,961990,18.0,73130656.0,2061.48,46
NonResidential,Hotel,DOWNTOWN,1.0,10.0,0,61320,1.0,28229320.0,1936.34,89
NonResidential,Hotel,DOWNTOWN,1.0,18.0,12460,107430,67.0,14829099.0,507.7,35
Nonresidential COS,Other,DOWNTOWN,1.0,2.0,37198,60090,,12051984.0,304.62,16
NonResidential,Hotel,DOWNTOWN,1.0,11.0,0,83008,25.0,6252842.0,208.46,89
NonResidential,Other,DOWNTOWN,1.0,8.0,0,102761,,6426022.0,199.99,89
NonResidential,Hotel,DOWNTOWN,1.0,15.0,0,163984,46.0,12633744.0,331.61,111
NonResidential,Hotel,DOWNTOWN,1.0,11.0,19279,133884,48.0,14719853.0,576.63,46
NonResidential,Hotel,DOWNTOWN,1.0,25.0,61161,272015,32.0,27717026.0,723.4,17
NonResidential,Hotel,DOWNTOWN,1.0,9.0,0,65009,39.0,6807227.0,334.87,87
NonResidential,Hotel,DOWNTOWN,1.0,33.0,57600,258352,56.0,22811690.0,675.34,35
NonResidential,Hotel,DOWNTOWN,1.0,11.0,0,67390,14.0,10711451.0,486.25,93
Nonresidential COS,Other,DOWNTOWN,1.0,11.0,57000,355000,,16849234.0,166.84,11
NonResidential,Other,DOWNTOWN,1.0,6.0,0,103911,,10340282.0,411.09,85
NonResidential,Hotel,DOWNTOWN,1.0,28.0,85000,331281,30.0,33270518.0,755.12,32
NonResidential,Mixed Use Property,DOWNTOWN,1.0,5.0,0,57452,,7481768.0,265.5,108
NonResidential,Hotel,DOWNTOWN,1.0,10.0,0,104352,83.0,7845112.0,411.22,99
NonResidential,Other,DOWNTOWN,1.0,10.0,0,540360,67.0,53332648.0,1596.08,99
NonResidential,Other,DOWNTOWN,1.0,19.0,0,385274,,50899248.0,1795.42,30
SPS-District K-12,K-12 School,SOUTHEAST,1.0,2.0,0,56228,96.0,1454222.0,35.17,54
NonResidential,Hotel,NORTHEAST,1.0,6.0,30586,58006,85.0,3880806.0,102.08,14
NonResidential,College/University,DOWNTOWN,1.0,7.0,0,126593,,9791557.0,308.6,87
NonResidential,Other,DOWNTOWN,1.0,2.0,0,67224,,1388717.0,9.68,85
NonResidential,Hotel,EAST,1.0,8.0,30301,128375,,5159342.0,249.43,24
NonResidential,Hotel,DOWNTOWN,1.0,10.0,38281,133585,20.0,11026945.0,319.73,14
SPS-District K-12,K-12 School,CENTRAL,1.0,1.0,0,126351,57.0,6283226.0,244.51,60
NonResidential,Hotel,DOWNTOWN,1.0,5.0,16200,52210,60.0,4341706.0,125.57,37
SPS-District K-12,K-12 School,NORTH,1.0,2.0,0,160645,80.0,6387710.0,260.37,66
SPS-District K-12,K-12 School,MAGNOLIA / QUEEN ANNE,1.0,2.0,0,51582,94.0,1472548.0,10.27,26
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1.0,3.0,0,87262,,3988729.0,149.39,109
NonResidential,Hotel,NORTHEAST,1.0,4.0,0,81871,20.0,7419765.0,243.37,21
NonResidential,Self-Storage Facility,NORTHEAST,1.0,2.0,0,126394,77.0,306721.0,3.71,60
NonResidential,Distribution Center,GREATER DUWAMISH,7.0,2.0,0,714095,1.0,47843892.0,333.54,54
SPS-District K-12,K-12 School,MAGNOLIA / QUEEN ANNE,1.0,2.0,0,54986,91.0,1655612.0,28.78,25
SPS-District K-12,K-12 School,NORTHEAST,1.0,2.0,0,175565,88.0,6227419.0,258.67,65
NonResidential,Small- and Mid-Sized Office,BALLARD,1.0,2.0,0,94900,57.0,6043853.0,123.08,54
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,2.0,0,52554,93.0,2137686.0,56.97,115
NonResidential,K-12 School,NORTHWEST,1.0,3.0,0,175015,95.0,7080118.0,251.72,61
NonResidential,Self-Storage Facility,DOWNTOWN,1.0,3.0,0,70586,,2147062.0,39.87,104
NonResidential,Hotel,DOWNTOWN,1.0,24.0,205970,126240,68.0,15660628.0,263.85,46
NonResidential,Large Office,DOWNTOWN,1.0,5.0,0,168115,79.0,9213841.0,64.23,42
NonResidential,Retail Store,DOWNTOWN,1.0,2.0,0,57428,,0.0,0.0,95
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,8.0,0,59400,,3915947.0,27.3,105
NonResidential,Mixed Use Property,DOWNTOWN,1.0,2.0,0,52549,,15583947.0,583.41,89
NonResidential,Hotel,DOWNTOWN,1.0,20.0,10043,88591,46.0,6175812.0,77.8,85
NonResidential,Hotel,DOWNTOWN,1.0,34.0,146694,847518,60.0,85357952.0,2846.07,33
NonResidential,Hotel,DOWNTOWN,1.0,7.0,0,71150,99.0,5040382.0,126.83,30
NonResidential,Hotel,DOWNTOWN,1.0,7.0,0,122810,99.0,5086863.0,209.92,107
NonResidential,Hotel,LAKE UNION,1.0,5.0,42546,70627,86.0,4988241.0,120.73,56
NonResidential,Hotel,LAKE UNION,1.0,7.0,34735,115718,83.0,6722886.0,191.58,15
NonResidential,Hotel,LAKE UNION,1.0,6.0,28200,88100,84.0,6014078.0,170.01,18
NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,1.0,6.0,36744,118858,81.0,6915293.0,156.59,17
NonResidential,K-12 School,EAST,1.0,3.0,0,56072,77.0,3106930.0,139.62,104
NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,1.0,4.0,44891,78051,94.0,5276777.0,169.49,16
NonResidential,Small- and Mid-Sized Office,CENTRAL,1.0,2.0,0,54984,65.0,3504957.0,85.51,53
NonResidential,Senior Care Community,SOUTHWEST,1.0,5.0,0,217603,50.0,45494324.0,1858.84,93
NonResidential,Senior Care Community,NORTHWEST,1.0,2.0,0,93397,1.0,16371764.0,602.0,45
NonResidential,Hotel,LAKE UNION,1.0,6.0,20732,63371,68.0,3979132.0,74.04,7
NonResidential,Medical Office,EAST,1.0,3.0,0,179014,48.0,18868768.0,563.78,50
NonResidential,Hotel,EAST,1.0,7.0,0,76631,24.0,7231928.0,255.64,107
NonResidential,Mixed Use Property,EAST,1.0,6.0,18493,169107,,15240688.0,444.42,32
NonResidential,Retail Store,LAKE UNION,1.0,2.0,0,58320,95.0,1074180.0,39.69,86
NonResidential,Large Office,LAKE UNION,1.0,5.0,0,316306,96.0,13300859.0,131.03,5
NonResidential,Hotel,LAKE UNION,1.0,7.0,44766,238097,40.0,18829136.0,509.18,25
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1.0,1.0,0,129000,,29337400.0,760.51,53
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1.0,1.0,0,91213,,5069854.0,123.28,53
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1.0,5.0,0,396085,,27185096.0,900.81,77
NonResidential,Large Office,LAKE UNION,1.0,12.0,0,571329,89.0,41734776.0,636.96,5
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1.0,2.0,0,49680,,2632472.0,96.39,53
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1.0,1.0,0,60696,,924980.0,6.45,87
Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,1.0,2.0,0,262048,,20828130.0,398.51,87
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,2.0,2352,63888,,4329966.0,30.19,29
NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,1.0,6.0,303707,616891,93.0,36681188.0,634.03,5
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,4.0,25930,50283,72.0,3303553.0,45.83,45
NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,1.0,6.0,36934,80804,52.0,5061274.0,138.68,13
NonResidential,Hotel,NORTHEAST,1.0,4.0,0,50017,51.0,5570472.0,196.34,53
SPS-District K-12,K-12 School,DELRIDGE,1.0,3.0,0,74468,85.0,1857329.0,25.2,16
NonResidential,K-12 School,EAST,1.0,3.0,0,67743,43.0,2303288.0,63.95,92
NonResidential,K-12 School,EAST,1.0,6.0,0,194104,100.0,5889882.0,229.98,107
NonResidential,Small- and Mid-Sized Office,SOUTHEAST,1.0,3.0,35752,63681,71.0,4439034.0,30.95,12
SPS-District K-12,K-12 School,SOUTHEAST,1.0,2.0,0,58933,71.0,2150120.0,14.99,24
SPS-District K-12,K-12 School,GREATER DUWAMISH,1.0,1.0,0,130862,65.0,5851209.0,211.49,58
SPS-District K-12,K-12 School,SOUTHEAST,1.0,3.0,0,59955,94.0,1521329.0,15.1,26
SPS-District K-12,K-12 School,MAGNOLIA / QUEEN ANNE,1.0,2.0,0,93218,84.0,3072599.0,97.38,51
NonResidential,Other,NORTHEAST,1.0,4.0,0,56521,,6443260.0,44.92,74
NonResidential,Other,NORTHEAST,1.0,2.0,0,206934,,4461969.0,139.24,86
NonResidential,Hotel,NORTHWEST,1.0,4.0,0,51390,86.0,3864699.0,138.87,14
SPS-District K-12,K-12 School,NORTHWEST,1.0,2.0,0,131013,88.0,3939221.0,127.52,52
SPS-District K-12,K-12 School,NORTHWEST,1.0,1.0,0,245587,95.0,10444297.0,377.09,56
NonResidential,Hotel,NORTHWEST,1.0,3.0,0,69138,75.0,3298570.0,88.4,13
SPS-District K-12,K-12 School,LAKE UNION,1.0,3.0,0,66588,75.0,2033074.0,14.17,24
NonResidential,Hotel,DOWNTOWN,1.0,5.0,0,190980,97.0,6935723.0,150.23,111
Nonresidential COS,Other,DOWNTOWN,1.0,6.0,0,284100,,14169301.0,338.23,17
NonResidential,Hospital,BALLARD,1.0,5.0,0,285333,28.0,63362516.0,1874.42,61
SPS-District K-12,K-12 School,BALLARD,1.0,2.0,0,55513,91.0,1612965.0,11.24,24
Nonresidential COS,Other,DOWNTOWN,1.0,4.0,0,61156,,10434387.0,220.94,9
NonResidential,Other,DOWNTOWN,1.0,4.0,0,72820,,2076630.0,42.99,105
